epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9416,0.48239,2.92658,0.90466,0.36786,0.79706,0.49636,0.46759,0.34345,2.2798,0.79257,0.0001625,0.0001625,0.0001625
2,109.836,0.37155,1.5619,0.82662,0.51469,0.77002,0.67936,0.64449,0.31667,1.75112,0.78922,0.000331931,0.000331931,0.000331931
3,141.723,0.36943,1.27022,0.82951,0.59825,0.84416,0.79535,0.73005,0.38828,1.18269,0.80707,0.000495587,0.000495587,0.000495587
4,173.208,0.38444,1.06933,0.8352,0.67615,0.90412,0.86369,0.80989,0.35232,0.79843,0.79732,0.000653469,0.000653469,0.000653469
5,203.279,0.41371,0.92151,0.82898,0.6989,0.79285,0.82308,0.76276,0.36847,1.07398,0.78984,0.000805575,0.000805575,0.000805575
6,231.412,0.39233,0.78491,0.83425,0.75681,0.86035,0.87478,0.8249,0.34283,0.88261,0.79191,0.000951906,0.000951906,0.000951906
7,267.078,0.40567,0.79742,0.83335,0.71258,0.87975,0.8359,0.77603,0.39978,0.86498,0.80724,0.00109246,0.00109246,0.00109246
8,301.165,0.39628,0.726,0.82264,0.77662,0.77652,0.83155,0.77317,0.3677,0.8295,0.80293,0.00110563,0.00110563,0.00110563
9,336.69,0.39124,0.68962,0.83204,0.79571,0.74693,0.91567,0.84956,0.37576,0.77801,0.80305,0.001085,0.001085,0.001085
10,367.163,0.38281,0.70901,0.83311,0.83969,0.8134,0.92223,0.87499,0.37299,0.75313,0.79757,0.00106437,0.00106437,0.00106437
11,393.305,0.36461,0.61968,0.83094,0.82916,0.87196,0.91973,0.87961,0.30783,0.60454,0.78048,0.00104375,0.00104375,0.00104375
12,421.36,0.35441,0.5834,0.81501,0.7868,0.81648,0.86206,0.82779,0.3239,1.28313,0.78554,0.00102312,0.00102312,0.00102312
13,458.063,0.37016,0.6588,0.82287,0.74615,0.88441,0.92082,0.87383,0.31354,0.62269,0.78356,0.0010025,0.0010025,0.0010025
14,487.981,0.36439,0.58382,0.83026,0.83151,0.85601,0.90907,0.87281,0.32192,0.62635,0.78771,0.000981875,0.000981875,0.000981875
15,515.01,0.3796,0.58593,0.8329,0.82566,0.8875,0.93699,0.87943,0.36636,0.61221,0.79463,0.00096125,0.00096125,0.00096125
16,543.333,0.34909,0.59713,0.8193,0.80779,0.84209,0.905,0.87522,0.2963,0.69594,0.78113,0.000940625,0.000940625,0.000940625
17,572.185,0.33763,0.53338,0.82913,0.78538,0.89248,0.94764,0.90335,0.33654,0.68792,0.78451,0.00092,0.00092,0.00092
18,602.867,0.33206,0.46564,0.82319,0.94842,0.858,0.95528,0.91686,0.32118,0.46956,0.78058,0.000899375,0.000899375,0.000899375
19,633.027,0.31811,0.47178,0.81368,0.803,0.96451,0.95346,0.93527,0.27079,0.51552,0.77532,0.00087875,0.00087875,0.00087875
20,663.119,0.31453,0.44571,0.8106,0.86216,0.9423,0.95595,0.9286,0.28609,0.40843,0.77525,0.000858125,0.000858125,0.000858125
21,691.026,0.32926,0.47141,0.81003,0.93608,0.94514,0.96921,0.93297,0.28404,0.36578,0.77623,0.0008375,0.0008375,0.0008375
22,720.362,0.31723,0.50201,0.81032,0.83864,0.8993,0.97074,0.92892,0.29889,0.57465,0.78374,0.000816875,0.000816875,0.000816875
23,747.056,0.31342,0.42866,0.81223,0.7329,0.88869,0.90018,0.85795,0.3094,1.01692,0.78324,0.00079625,0.00079625,0.00079625
24,774.474,0.32269,0.484,0.81722,0.87425,0.88619,0.94843,0.91956,0.29091,0.5206,0.77947,0.000775625,0.000775625,0.000775625
25,806.198,0.31244,0.46555,0.80858,0.90445,0.9193,0.93127,0.92195,0.25539,0.4333,0.77491,0.000755,0.000755,0.000755
26,839.665,0.30461,0.45061,0.81022,0.8392,0.90916,0.93999,0.91927,0.25165,0.61312,0.77699,0.000734375,0.000734375,0.000734375
27,868.688,0.2917,0.42396,0.80693,0.9248,0.89147,0.94938,0.92836,0.265,0.4108,0.77353,0.00071375,0.00071375,0.00071375
28,896.125,0.30196,0.44554,0.81654,0.88096,0.93515,0.96537,0.94644,0.24785,0.36448,0.77202,0.000693125,0.000693125,0.000693125
29,925.589,0.29279,0.38108,0.81296,0.90615,0.94198,0.97859,0.95694,0.23336,0.33508,0.76845,0.0006725,0.0006725,0.0006725
30,955.295,0.28485,0.38928,0.81253,0.92633,0.89749,0.97864,0.96779,0.26519,0.34569,0.77796,0.000651875,0.000651875,0.000651875
31,986.206,0.29162,0.38606,0.8158,0.909,0.95238,0.97605,0.95227,0.26568,0.32762,0.77591,0.00063125,0.00063125,0.00063125
32,1018.73,0.28535,0.36171,0.80909,0.8812,0.9071,0.95748,0.92765,0.25303,0.38226,0.77341,0.000610625,0.000610625,0.000610625
33,1048.21,0.28153,0.35885,0.80278,0.87411,0.97155,0.96947,0.95524,0.254,0.33248,0.77377,0.00059,0.00059,0.00059
34,1076.74,0.28139,0.33733,0.81225,0.92841,0.91846,0.96383,0.95103,0.25546,0.37452,0.7733,0.000569375,0.000569375,0.000569375
35,1113.26,0.27443,0.37096,0.807,0.9329,0.94505,0.96954,0.94016,0.26556,0.3204,0.775,0.00054875,0.00054875,0.00054875
36,1141.04,0.27092,0.34974,0.80172,0.91777,0.9375,0.97093,0.95619,0.23607,0.32527,0.77066,0.000528125,0.000528125,0.000528125
37,1177.14,0.27818,0.37242,0.81037,0.96224,0.96189,0.98704,0.97554,0.23168,0.25439,0.76853,0.0005075,0.0005075,0.0005075
38,1207.3,0.27713,0.36167,0.81018,0.95309,0.96094,0.98648,0.96071,0.2507,0.26734,0.77167,0.000486875,0.000486875,0.000486875
39,1238.09,0.26814,0.31258,0.80798,0.91368,0.93607,0.96863,0.95716,0.2483,0.32926,0.77402,0.00046625,0.00046625,0.00046625
40,1265.19,0.26182,0.32892,0.79183,0.94133,0.88282,0.95402,0.93391,0.25073,0.44502,0.77242,0.000445625,0.000445625,0.000445625
41,1296.87,0.2675,0.34913,0.80471,0.9329,0.8861,0.95975,0.93783,0.25283,0.37466,0.77254,0.000425,0.000425,0.000425
42,1323.77,0.27273,0.3219,0.80575,0.96596,0.94135,0.984,0.97219,0.2291,0.28038,0.76785,0.000404375,0.000404375,0.000404375
43,1349.21,0.26096,0.29755,0.80655,0.96014,0.9467,0.98567,0.96823,0.25645,0.24493,0.7713,0.00038375,0.00038375,0.00038375
44,1384.92,0.24686,0.28951,0.78916,0.94792,0.94734,0.97649,0.97024,0.22967,0.28533,0.76866,0.000363125,0.000363125,0.000363125
45,1421.49,0.25719,0.30719,0.80318,0.96678,0.94048,0.97928,0.96554,0.25333,0.29308,0.76944,0.0003425,0.0003425,0.0003425
46,1458.96,0.2474,0.29704,0.80197,0.93635,0.96378,0.97911,0.96112,0.24062,0.2687,0.76864,0.000321875,0.000321875,0.000321875
47,1488.06,0.23849,0.29558,0.80477,0.94014,0.90162,0.9774,0.96124,0.22379,0.33311,0.76761,0.00030125,0.00030125,0.00030125
48,1517.7,0.23665,0.27793,0.80402,0.85529,0.98059,0.97374,0.95696,0.24359,0.28783,0.76843,0.000280625,0.000280625,0.000280625
49,1551.73,0.24502,0.29416,0.8024,0.92629,0.8924,0.97059,0.96191,0.22136,0.30521,0.7655,0.00026,0.00026,0.00026
50,1577.79,0.23058,0.25219,0.80105,0.91833,0.92496,0.96819,0.95155,0.23817,0.30739,0.76853,0.000239375,0.000239375,0.000239375
51,1634.14,0.21275,0.23464,0.77825,0.95673,0.91473,0.98044,0.96973,0.22617,0.28804,0.76753,0.00021875,0.00021875,0.00021875
52,1668.51,0.21122,0.20343,0.77843,0.91531,0.97183,0.9806,0.97063,0.23318,0.27432,0.76741,0.000198125,0.000198125,0.000198125
53,1701,0.21275,0.22035,0.773,0.93637,0.92686,0.97389,0.96525,0.23018,0.32841,0.76749,0.0001775,0.0001775,0.0001775
54,1728.28,0.21823,0.22318,0.77958,0.88952,0.96262,0.96671,0.96225,0.21869,0.33621,0.76732,0.000156875,0.000156875,0.000156875
55,1757.76,0.21178,0.22495,0.76797,0.89168,0.9674,0.96474,0.95545,0.2296,0.32735,0.76966,0.00013625,0.00013625,0.00013625
56,1790.31,0.21095,0.20707,0.7678,0.93813,0.91874,0.97205,0.9637,0.21884,0.30089,0.76763,0.000115625,0.000115625,0.000115625
57,1820.42,0.20445,0.19576,0.77886,0.93517,0.93715,0.97952,0.9679,0.21966,0.27608,0.76815,9.5e-05,9.5e-05,9.5e-05
58,1848.4,0.18932,0.19368,0.77107,0.92892,0.93628,0.97304,0.95434,0.22801,0.28922,0.76901,7.4375e-05,7.4375e-05,7.4375e-05
59,1880.74,0.19721,0.17646,0.77823,0.93775,0.92904,0.97127,0.95534,0.22018,0.29366,0.76835,5.375e-05,5.375e-05,5.375e-05
60,1909.55,0.19612,0.19221,0.7811,0.93517,0.91913,0.97141,0.95609,0.21973,0.29404,0.76818,3.3125e-05,3.3125e-05,3.3125e-05
